district,state,vaccinated_in_public_pct_nfhs4,anaemia_children_pct_national_percentile_nfhs4,health_insurance_pct_nfhs4,csection_private_pct_nfhs4,fp_pill_pct_nfhs4,postnatal_care_child_pct_nfhs4,anc_first_trimester_pct_nfhs4,anaemia_nonpregnant_women_pct_nfhs4,vaccinated_in_public_pct_nfhs5,anaemia_children_pct_national_percentile_nfhs5,health_insurance_pct_nfhs5,csection_private_pct_nfhs5,fp_pill_pct_nfhs5,postnatal_care_child_pct_nfhs5,anc_first_trimester_pct_nfhs5,anaemia_nonpregnant_women_pct_nfhs5,vaccinated_in_public_pct_change,vaccinated_in_public_pct_change_pct,anaemia_children_pct_national_percentile_change,anaemia_children_pct_national_percentile_change_pct,health_insurance_pct_change,health_insurance_pct_change_pct,csection_private_pct_change,csection_private_pct_change_pct,fp_pill_pct_change,fp_pill_pct_change_pct,postnatal_care_child_pct_change,postnatal_care_child_pct_change_pct,anc_first_trimester_pct_change,anc_first_trimester_pct_change_pct,anaemia_nonpregnant_women_pct_change,anaemia_nonpregnant_women_pct_change_pct,vaccinated_in_public_pct_improvement_rank,anaemia_children_pct_national_percentile_improvement_rank,health_insurance_pct_improvement_rank,csection_private_pct_improvement_rank,fp_pill_pct_improvement_rank,postnatal_care_child_pct_improvement_rank,anc_first_trimester_pct_improvement_rank,anaemia_nonpregnant_women_pct_improvement_rank
Bangalore Rural,Karnataka,100.0,72.3,34.9,60.5,1.7,91.0,81.8,44.6,100.0,72.3,34.9,60.5,1.7,91.0,81.8,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Ramanagara,Karnataka,96.5,73.4,35.7,57.8,1.5,84.8,91.8,45.3,96.5,73.4,35.7,57.8,1.5,84.8,91.8,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Kasaragod,Kerala,88.3,98.3,44.0,28.9,0.0,95.9,97.4,35.6,88.3,98.3,44.0,28.9,0.0,95.9,97.4,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Kannur,Kerala,91.6,96.9,47.9,40.0,0.7,90.0,94.8,39.7,91.6,96.9,47.9,40.0,0.7,90.0,94.8,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Wayanad,Kerala,93.2,95.4,64.8,30.2,0.2,97.2,97.6,27.0,93.2,95.4,64.8,30.2,0.2,97.2,97.6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Kozhikode,Kerala,81.2,98.9,61.1,48.8,0.3,89.0,98.3,30.2,81.2,98.9,61.1,48.8,0.3,89.0,98.3,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Malappuram,Kerala,79.6,90.9,42.8,26.8,0.4,95.1,95.3,34.5,79.6,90.9,42.8,26.8,0.4,95.1,95.3,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Palakkad,Kerala,94.1,87.3,53.8,29.7,0.2,93.2,97.7,50.0,94.1,87.3,53.8,29.7,0.2,93.2,97.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Thrissur,Kerala,,90.4,48.7,43.0,0.6,88.4,97.1,44.9,,90.4,48.7,43.0,0.6,88.4,97.1,44.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Ernakulam,Kerala,93.4,97.5,46.2,50.0,0.3,94.2,92.6,32.1,93.4,97.5,46.2,50.0,0.3,94.2,92.6,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Idukki,Kerala,93.3,99.0,58.1,47.0,0.0,95.3,93.3,32.4,93.3,99.0,58.1,47.0,0.0,95.3,93.3,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Kottayam,Kerala,,97.3,53.2,49.4,0.7,83.5,81.6,38.6,,97.3,53.2,49.4,0.7,83.5,81.6,38.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Alappuzha,Kerala,100.0,99.3,60.4,53.8,0.2,85.1,85.1,32.0,100.0,99.3,60.4,53.8,0.2,85.1,85.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Pathanamthitta,Kerala,,93.1,50.1,61.1,0.5,93.2,92.9,36.9,,93.1,50.1,61.1,0.5,93.2,92.9,36.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Kollam,Kerala,90.5,98.7,56.0,58.4,0.6,89.5,92.6,36.7,90.5,98.7,56.0,58.4,0.6,89.5,92.6,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Thiruvananthapuram,Kerala,81.7,98.6,48.7,36.0,0.2,88.0,87.7,32.5,81.7,98.6,48.7,36.0,0.2,88.0,87.7,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Leh(Ladakh),Ladakh,100.0,0.0,16.2,,6.6,78.6,80.9,94.6,100.0,0.0,16.2,,6.6,78.6,80.9,94.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Kargil,Ladakh,100.0,1.6,13.6,,6.6,74.7,91.0,92.8,100.0,1.6,13.6,,6.6,74.7,91.0,92.8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Lakshadweep,Lakshadweep,100.0,94.0,60.1,37.7,1.2,93.7,99.6,26.0,100.0,94.0,60.1,37.7,1.2,93.7,99.6,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Sheopur,Madhya Pradesh,100.0,33.7,27.1,45.7,2.0,73.2,73.2,65.3,100.0,33.7,27.1,45.7,2.0,73.2,73.2,65.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Morena,Madhya Pradesh,98.7,23.3,36.3,38.1,1.7,80.8,82.5,68.4,98.7,23.3,36.3,38.1,1.7,80.8,82.5,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Bhind,Madhya Pradesh,98.5,19.8,31.0,64.9,0.7,85.9,82.6,70.3,98.5,19.8,31.0,64.9,0.7,85.9,82.6,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Gwalior,Madhya Pradesh,94.7,10.4,40.6,51.0,2.3,85.8,86.2,62.5,94.7,10.4,40.6,51.0,2.3,85.8,86.2,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Datia,Madhya Pradesh,100.0,29.7,30.9,63.8,0.8,82.2,76.5,58.6,100.0,29.7,30.9,63.8,0.8,82.2,76.5,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Shivpuri,Madhya Pradesh,100.0,37.4,38.9,,0.3,84.7,75.9,50.7,100.0,37.4,38.9,,0.3,84.7,75.9,50.7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Tikamgarh,Madhya Pradesh,100.0,51.0,40.5,,0.8,86.5,84.7,49.9,100.0,51.0,40.5,,0.8,86.5,84.7,49.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Chhatarpur,Madhya Pradesh,98.2,2.1,17.1,60.3,0.4,79.8,65.8,63.4,98.2,2.1,17.1,60.3,0.4,79.8,65.8,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Panna,Madhya Pradesh,98.5,23.9,12.6,43.6,1.3,74.6,61.5,58.8,98.5,23.9,12.6,43.6,1.3,74.6,61.5,58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Sagar,Madhya Pradesh,99.0,3.8,27.5,39.6,1.6,79.8,62.6,49.5,99.0,3.8,27.5,39.6,1.6,79.8,62.6,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Damoh,Madhya Pradesh,98.0,17.1,21.6,,1.4,78.8,67.1,47.9,98.0,17.1,21.6,,1.4,78.8,67.1,47.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Satna,Madhya Pradesh,100.0,5.4,22.0,,0.5,79.7,68.6,57.5,100.0,5.4,22.0,,0.5,79.7,68.6,57.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Rewa,Madhya Pradesh,97.2,11.7,29.4,,1.2,77.8,51.7,61.7,97.2,11.7,29.4,,1.2,77.8,51.7,61.7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Umaria,Madhya Pradesh,100.0,34.5,19.9,,0.9,87.9,79.2,51.6,100.0,34.5,19.9,,0.9,87.9,79.2,51.6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Neemuch,Madhya Pradesh,98.3,13.7,43.3,43.9,2.9,92.9,88.9,50.6,98.3,13.7,43.3,43.9,2.9,92.9,88.9,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Mandsaur,Madhya Pradesh,98.3,59.4,48.4,,2.6,90.1,86.6,57.0,98.3,59.4,48.4,,2.6,90.1,86.6,57.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Ratlam,Madhya Pradesh,98.5,25.0,37.9,50.2,1.9,87.7,80.2,59.4,98.5,25.0,37.9,50.2,1.9,87.7,80.2,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Ujjain,Madhya Pradesh,96.8,5.7,35.7,53.3,3.1,84.0,67.0,54.8,96.8,5.7,35.7,53.3,3.1,84.0,67.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Dewas,Madhya Pradesh,98.7,8.6,35.1,63.1,3.6,82.7,61.9,51.8,98.7,8.6,35.1,63.1,3.6,82.7,61.9,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Dhar,Madhya Pradesh,100.0,61.2,30.3,,3.9,93.8,81.7,49.5,100.0,61.2,30.3,,3.9,93.8,81.7,49.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Indore,Madhya Pradesh,93.8,9.5,40.3,49.7,4.6,93.3,86.4,47.9,93.8,9.5,40.3,49.7,4.6,93.3,86.4,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Khargone (West Nimar),Madhya Pradesh,100.0,34.5,43.7,,1.9,83.6,72.8,50.5,100.0,34.5,43.7,,1.9,83.6,72.8,50.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Barwani,Madhya Pradesh,100.0,10.8,29.2,,2.9,82.5,88.8,58.5,100.0,10.8,29.2,,2.9,82.5,88.8,58.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Rajgarh,Madhya Pradesh,98.1,13.0,27.1,42.3,2.5,78.1,75.1,52.6,98.1,13.0,27.1,42.3,2.5,78.1,75.1,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Vidisha,Madhya Pradesh,100.0,86.8,48.2,43.3,3.4,86.9,84.9,37.9,100.0,86.8,48.2,43.3,3.4,86.9,84.9,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Bhopal,Madhya Pradesh,,46.7,50.7,,3.9,86.6,90.2,53.9,,46.7,50.7,,3.9,86.6,90.2,53.9,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Sehore,Madhya Pradesh,100.0,4.5,33.2,49.0,2.9,80.4,58.5,44.8,100.0,4.5,33.2,49.0,2.9,80.4,58.5,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Raisen,Madhya Pradesh,,71.3,41.0,,1.7,89.0,82.5,56.9,,71.3,41.0,,1.7,89.0,82.5,56.9,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Betul,Madhya Pradesh,100.0,78.3,51.3,,1.2,86.2,76.9,55.8,100.0,78.3,51.3,,1.2,86.2,76.9,55.8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Harda,Madhya Pradesh,100.0,3.0,33.3,56.7,4.2,84.6,75.5,63.3,100.0,3.0,33.3,56.7,4.2,84.6,75.5,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Hoshangabad,Madhya Pradesh,97.1,9.5,28.6,53.9,1.6,71.8,42.4,52.4,97.1,9.5,28.6,53.9,1.6,71.8,42.4,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Katni,Madhya Pradesh,100.0,9.9,18.1,,2.2,83.7,73.6,59.2,100.0,9.9,18.1,,2.2,83.7,73.6,59.2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Jabalpur,Madhya Pradesh,,96.5,61.2,,0.5,88.9,91.8,48.6,,96.5,61.2,,0.5,88.9,91.8,48.6,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Narsimhapur,Madhya Pradesh,100.0,26.9,49.4,55.5,1.0,87.4,88.0,46.6,100.0,26.9,49.4,55.5,1.0,87.4,88.0,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Dindori,Madhya Pradesh,100.0,11.3,47.2,,1.0,80.9,79.5,65.0,100.0,11.3,47.2,,1.0,80.9,79.5,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Mandla,Madhya Pradesh,100.0,39.6,42.6,,1.1,83.5,81.7,60.5,100.0,39.6,42.6,,1.1,83.5,81.7,60.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Chhindwara,Madhya Pradesh,100.0,88.9,48.5,65.1,0.8,89.7,82.1,41.8,100.0,88.9,48.5,65.1,0.8,89.7,82.1,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Seoni,Madhya Pradesh,100.0,32.9,44.6,86.6,0.8,94.9,83.7,60.0,100.0,32.9,44.6,86.6,0.8,94.9,83.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Balaghat,Madhya Pradesh,100.0,80.0,68.4,,0.7,86.1,55.6,61.0,100.0,80.0,68.4,,0.7,86.1,55.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Guna,Madhya Pradesh,97.9,22.0,43.1,62.2,2.3,87.9,84.6,49.6,97.9,22.0,43.1,62.2,2.3,87.9,84.6,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Ashoknagar,Madhya Pradesh,100.0,74.3,34.2,,0.8,76.4,81.8,46.3,100.0,74.3,34.2,,0.8,76.4,81.8,46.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Shahdol,Madhya Pradesh,100.0,78.8,58.4,,0.5,79.3,74.2,56.4,100.0,78.8,58.4,,0.5,79.3,74.2,56.4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Anuppur,Madhya Pradesh,100.0,90.1,52.8,,0.1,85.8,60.2,52.5,100.0,90.1,52.8,,0.1,85.8,60.2,52.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Sidhi,Madhya Pradesh,98.7,30.9,26.1,,0.9,75.9,72.7,55.7,98.7,30.9,26.1,,0.9,75.9,72.7,55.7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Singrauli,Madhya Pradesh,96.3,80.2,58.5,,0.2,66.7,72.9,54.4,96.3,80.2,58.5,,0.2,66.7,72.9,54.4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Jhabua,Madhya Pradesh,100.0,7.9,43.7,44.1,1.8,87.7,92.9,58.7,100.0,7.9,43.7,44.1,1.8,87.7,92.9,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Alirajpur,Madhya Pradesh,100.0,16.5,42.5,,3.3,74.6,67.0,60.4,100.0,16.5,42.5,,3.3,74.6,67.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Khandwa (East Nimar),Madhya Pradesh,100.0,2.3,38.1,,2.2,87.5,65.5,66.9,100.0,2.3,38.1,,2.2,87.5,65.5,66.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Burhanpur,Madhya Pradesh,98.4,12.1,42.2,55.4,4.8,84.8,77.4,58.0,98.4,12.1,42.2,55.4,4.8,84.8,77.4,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Agar Malwa,Madhya Pradesh,100.0,33.7,58.9,,1.2,92.9,70.1,59.5,100.0,33.7,58.9,,1.2,92.9,70.1,59.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,631.5,353.5,353.5,353.5,353.5
Shajapur,Madhya Pradesh,100.0,18.0,34.3,46.8,1.9,88.2,85.8,45.9,100.0,18.0,34.3,46.8,1.9,88.2,85.8,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Nandurbar,Maharastra,98.6,8.8,15.3,29.0,3.4,74.2,51.0,64.1,98.6,8.8,15.3,29.0,3.4,74.2,51.0,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Dhule,Maharastra,90.4,31.8,19.8,40.8,1.1,74.9,61.2,60.8,90.4,31.8,19.8,40.8,1.1,74.9,61.2,60.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Jalgaon,Maharastra,92.3,3.1,11.9,40.1,0.6,78.5,60.3,65.3,92.3,3.1,11.9,40.1,0.6,78.5,60.3,65.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Buldana,Maharastra,97.6,8.6,37.9,28.4,2.3,84.8,73.6,58.5,97.6,8.6,37.9,28.4,2.3,84.8,73.6,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Akola,Maharastra,89.8,13.0,40.1,42.0,3.8,92.2,75.1,53.2,89.8,13.0,40.1,42.0,3.8,92.2,75.1,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Washim,Maharastra,100.0,38.2,24.1,31.3,0.9,83.4,63.4,57.0,100.0,38.2,24.1,31.3,0.9,83.4,63.4,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Amravati,Maharastra,100.0,24.3,31.9,58.9,3.7,79.4,89.1,53.6,100.0,24.3,31.9,58.9,3.7,79.4,89.1,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
Wardha,Maharastra,97.6,35.0,27.1,39.3,2.4,90.5,87.9,60.7,97.6,35.0,27.1,39.3,2.4,90.5,87.9,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,353.5,353.5,278.5,353.5,353.5,353.5,353.5
